Year,Code,Region,Wave,Country,Median equivalized income,Mean equivalized income,"Gross, net or mixed","# Observations 
Primary
Income"," # Obervations
Gross
Income","# Observations
Disposable
Income"
2010,AU,Anglo-Saxon,Wave VIII,Australia,41996,49439,Gross,17968,17968,17968
2008,AU,Anglo-Saxon,Wave VII,Australia,40350,47267,Gross,9307,9307,9307
2003,AU,Anglo-Saxon,Wave VI,Australia,25581,29417,Gross,10131,10131,10131
2001,AU,Anglo-Saxon,Wave V,Australia,23842,27281,Gross,6739,6739,6739
1995,AU,Anglo-Saxon,Wave IV,Australia,18538,21086,Gross,6777,6777,6777
1989,AU,Anglo-Saxon,Wave III,Australia,16587,18799,Gross,14407,14407,14407
1985,AU,Anglo-Saxon,Wave II,Australia,12035,13354,Gross,7534,7534,7534
1981,AU,Anglo-Saxon,Wave I,Australia,8882,9811,Gross,14709,14709,14709
2013,AT,EU15,Wave IX,Austria,25703,29039,Gross,5906,5906,5906
2010,AT,EU15,Wave VIII,Austria,24421,27363,Gross,6183,6183,6183
2007,AT,EU15,Wave VII,Austria,21917,24567,Gross,5705,5705,5705
2004,AT,EU15,Wave VI,Austria,20154,22556,Gross,5147,5147,5147
2000,AT,EU15,Wave V,Austria,241389,263197,Net,2333,2333,2333
1997,AT,EU15,Wave IV,Austria,218708,241845,Net,2676,2676,2676
1995,AT,EU15,Wave IV,Austria,192430,208666,Mix,0,0,19248
1994,AT,EU15,Wave IV,Austria,214407,241434,Net,2859,2859,2859
1987,AT,EU15,Wave II,Austria,161658,172302,Mix,0,0,11147
2000,BE,EU15,Wave V,Belgium,672691,748511,Net,2080,2080,2080
1997,BE,EU15,Wave IV,Belgium,597664,645908,Gross,4619,4619,4619
1995,BE,EU15,Wave IV,Belgium,590350,639359,Net,2627,2627,2627
1992,BE,EU15,Wave III,Belgium,482991,515854,Gross,3779,3779,3779
1988,BE,EU15,Wave III,Belgium,401354,432328,Net,3751,3751,3751
1985,BE,EU15,Wave II,Belgium,369958,395298,Net,6447,6447,6447
2013,BR,BRICS,Wave IX,Brazil,13444,19145,Gross,110888,110888,110888
2011,BR,BRICS,Wave VIII,Brazil,10740,15590,Gross,106408,106408,106408
2009,BR,BRICS,Wave VII,Brazil,8835,13180,Gross,117824,117824,117824
2006,BR,BRICS,Wave VI,Brazil,6598,10275,Gross,115254,115254,115254
2010,CA,Anglo-Saxon,Wave VIII,Canada,36712,41988,Gross,25019,25019,25019
2007,CA,Anglo-Saxon,Wave VII,Canada,34003,39120,Gross,26745,26745,26745
2004,CA,Anglo-Saxon,Wave VI,Canada,29394,33785,Gross,27819,27819,27819
2000,CA,Anglo-Saxon,Wave V,Canada,25090,28804,Gross,28970,28970,28970
1998,CA,Anglo-Saxon,Wave V,Canada,24235,27289,Gross,31217,31217,31217
1997,CA,Anglo-Saxon,Wave IV,Canada,23530,26017,Gross,33836,33836,33836
1994,CA,Anglo-Saxon,Wave IV,Canada,22378,24765,Gross,37432,37432,37432
1991,CA,Anglo-Saxon,Wave III,Canada,21596,23887,Gross,20003,20003,20003
1987,CA,Anglo-Saxon,Wave II,Canada,17990,19765,Gross,10987,10987,10987
1981,CA,Anglo-Saxon,Wave I,Canada,12674,13831,Gross,15071,15071,15071
1975,CA,Anglo-Saxon,Historical wave,Canada,6853,7421,Gross,26293,26293,26293
1971,CA,Anglo-Saxon,Historical wave,Canada,3932,4322,Gross,25370,25370,25370
2002,CN,BRICS,Wave V,China,4733,7746,Mix,15864,15864,17108
2013,CO,Latin America,Wave IX,Colombia,5295826,8326084,Mix,13891,13891,13891
2010,CO,Latin America,Wave VIII,Colombia,4620000,7069855,Mix,16003,16003,16003
2007,CO,Latin America,Wave VII,Colombia,3665878,6104666,Mix,15549,15549,15549
2004,CO,Latin America,Wave VI,Colombia,2640349,4253801,Gross,8806,8806,8806
2013,CZ,CEE,Wave IX,Czech,228173,257535,Gross,8053,8053,8053
2010,CZ,CEE,Wave VIII,Czech,219928,245799,Gross,8864,8864,8864
2007,CZ,CEE,Wave VII,Czech,195397,217961,Gross,11292,11292,11292
2004,CZ,CEE,Wave VI,Czech,151465,174141,Gross,4351,4351,4351
2002,CZ,CEE,Wave V,Czech,136237,155251,Gross,7970,7970,7970
1996,CZ,CEE,Wave IV,Czech,94600,107054,Gross,28136,28136,28136
1992,CZ,CEE,Wave III,Czech,51384,55467,Gross,16234,16234,16234
2013,DK,EU15,Wave IX,Denmark,236619,256941,Gross,87517,87472,87517
2010,DK,EU15,Wave VIII,Denmark,230668,247152,Gross,85645,85611,85645
2007,DK,EU15,Wave VII,Denmark,212684,224783,Gross,84451,84384,84451
2004,DK,EU15,Wave VI,Denmark,192936,202697,Gross,83244,83244,83244
2000,DK,EU15,Wave V,Denmark,169678,178171,Gross,81994,81994,81994
1995,DK,EU15,Wave IV,Denmark,143094,149426,Gross,80000,79995,80000
1992,DK,EU15,Wave III,Denmark,126980,132629,Gross,12829,12822,12829
1987,DK,EU15,Wave II,Denmark,111500,116773,Gross,12383,12383,12383
2007,DO,Latin America,Wave VII,Dominican,71580,110550,Gross,8316,8316,8316
2012,EG,Middle East,Wave IX,Egypt,7200,10624,Net,11849,11849,11849
2013,EE,CEE,Wave IX,Estonia,8100,9774,Gross,5681,5681,5750
2010,EE,CEE,Wave VIII,Estonia,99254,115365,Gross,4919,4919,4985
2007,EE,CEE,Wave VII,Estonia,98663,112643,Gross,4667,4667,4739
2004,EE,CEE,Wave VI,Estonia,55108,66740,Gross,4145,4145,4145
2000,EE,CEE,Wave V,Estonia,36391,45701,Mix,6062,6062,6062
2013,FI,EU15,Wave IX,Finland,25894,28551,Gross,11026,10953,11026
2010,FI,EU15,Wave VIII,Finland,24050,26455,Gross,9348,9302,9348
2007,FI,EU15,Wave VII,Finland,22297,24537,Gross,10471,10400,10471
2004,FI,EU15,Wave VI,Finland,19439,21406,Gross,11226,11144,11226
2000,FI,EU15,Wave V,Finland,97253,106740,Gross,10421,10378,10421
1995,FI,EU15,Wave IV,Finland,81105,86953,Gross,9261,9261,9261
1991,FI,EU15,Wave III,Finland,84550,88845,Gross,11748,11748,11748
1987,FI,EU15,Wave II,Finland,62210,64692,Gross,11863,11863,11863
2010,FR,EU15,Wave VIII,France,21021,23882,Mix,15680,15680,15680
2005,FR,EU15,Wave VI,France,17301,19542,Mix,10240,10240,10240
2000,FR,EU15,Wave V,France,98986,113345,Mix,10301,10301,10301
1994,FR,EU15,Wave IV,France,90856,105348,Mix,11289,11289,11289
1989,FR,EU15,Wave III,France,73025,81893,Mix,8603,8603,8603
1984,FR,EU15,Wave II,France,58496,68555,Mix,11463,11463,11463
1978,FR,EU15,Wave I,France,32364,37340,Mix,9356,9356,10468
2013,GE,Europe - other,Wave IX,Georgia,3446,4485,Net,2758,2758,2758
2010,GE,Europe - other,Wave VIII,Georgia,2227,3126,Net,5532,5532,5532
2013,DE,EU15,Wave IX,Germany,21230,24395,Gross,15941,15941,15941
2010,DE,EU15,Wave VIII,Germany,20134,22712,Gross,12137,12137,12137
2007,DE,EU15,Wave VII,Germany,19060,21842,Gross,10916,10916,10916
2004,DE,EU15,Wave VI,Germany,18507,20901,Gross,11290,11290,11290
2000,DE,EU15,Wave V,Germany,34095,38287,Gross,11793,11793,11793
1994,DE,EU15,Wave IV,Germany,29237,32831,Gross,6763,6763,6763
1989,DE,EU15,Wave III,Germany,25457,28473,Gross,4636,4636,4636
1984,DE,EU15,Wave II,Germany,21270,23485,Gross,5315,5315,5315
1983,DE,EU15,Wave II,Germany,24800,27950,Gross,42751,42751,42751
1981,DE,EU15,Wave I,Germany,19525,21561,Gross,2727,2727,2727
1978,DE,EU15,Historical wave,Germany,19555,22044,Gross,46062,46062,46062
1973,DE,EU15,Historical wave,Germany,13574,15368,Gross,46730,46730,46730
2013,GR,EU15,Wave IX,Greece,9005,10514,Gross,8499,8499,8610
2010,GR,EU15,Wave VIII,Greece,12907,14709,Gross,5890,5890,5994
2007,GR,EU15,Wave VII,Greece,12778,14728,Gross,6411,6411,6477
2004,GR,EU15,Wave VI,Greece,10909,12920,Net,5547,5547,5547
2000,GR,EU15,Wave V,Greece,2690452,3168262,Net,3877,3877,3877
1995,GR,EU15,Wave IV,Greece,1888000,2231588,Net,4792,4792,4792
2014,GT,Latin America,Wave IX,Guatemala,17591,23115,Gross,11512,11512,11512
2011,GT,Latin America,Wave VIII,Guatemala,13856,20597,Gross,13257,13257,13257
2006,GT,Latin America,Wave VI,Guatemala,14007,20749,Gross,13661,13661,13661
