Year,Code,Region,Wave,LIS Dataset,Gross / net,Budget size (transfers),Budget size (income taxes),Efficiency (transfers),"Efficiency
(income taxes)"
2010,AU,Anglo-Saxon,Wave VIII,Australia 2010,Gross,0.129,0.155,-0.318,-0.565
2008,AU,Anglo-Saxon,Wave VII,Australia 2008,Gross,0.119,0.172,-0.321,-0.569
2003,AU,Anglo-Saxon,Wave VI,Australia 2003,Gross,0.135,0.2,-0.336,-0.546
2001,AU,Anglo-Saxon,Wave V,Australia 2001,Gross,0.14,0.19,-0.335,-0.561
1995,AU,Anglo-Saxon,Wave IV,Australia 1995,Gross,0.137,0.201,-0.34,-0.543
1989,AU,Anglo-Saxon,Wave III,Australia 1989,Gross,0.097,0.216,-0.37,-0.532
1985,AU,Anglo-Saxon,Wave II,Australia 1985,Gross,0.107,0.224,-0.34,-0.522
1981,AU,Anglo-Saxon,Wave I,Australia 1981,Gross,0.097,0.216,-0.324,-0.492
2013,AT,EU15,Wave IX,Austria 2013,Gross,0.261,0.254,0.045,-0.458
2010,AT,EU15,Wave VIII,Austria 2010,Gross,0.257,0.246,0.035,-0.474
2007,AT,EU15,Wave VII,Austria 2007,Gross,0.238,0.256,0.022,-0.465
2004,AT,EU15,Wave VI,Austria 2004,Gross,0.267,0.251,0.079,-0.416
2000,AT,EU15,Wave V,Austria 2000,Net,0.274,,0.04,
1997,AT,EU15,Wave IV,Austria 1997,Net,0.269,,0.056,
1995,AT,EU15,Wave IV,Austria 1995,Mix,,,,
1994,AT,EU15,Wave IV,Austria 1994,Net,0.254,,0.028,
1987,AT,EU15,Wave II,Austria 1987,Mix,,,,
2000,BE,EU15,Wave V,Belgium 2000,Net,0.245,,-0.165,
1997,BE,EU15,Wave IV,Belgium 1997,Gross,0.217,0.303,-0.126,-0.5
1995,BE,EU15,Wave IV,Belgium 1995,Net,0.28,,-0.079,
1992,BE,EU15,Wave III,Belgium 1992,Gross,0.226,0.266,-0.144,-0.473
1988,BE,EU15,Wave III,Belgium 1988,Net,0.278,,-0.073,
1985,BE,EU15,Wave II,Belgium 1985,Net,0.268,,-0.095,
2013,BR,BRICS,Wave IX,Brazil 2013,Gross,0.204,0.09,0.158,-0.58
2011,BR,BRICS,Wave VIII,Brazil 2011,Gross,0.202,0.086,0.153,-0.581
2009,BR,BRICS,Wave VII,Brazil 2009,Gross,0.21,0.084,0.201,-0.59
2006,BR,BRICS,Wave VI,Brazil 2006,Gross,0.207,0.082,0.206,-0.572
2010,CA,Anglo-Saxon,Wave VIII,Canada 2010,Gross,0.182,0.189,-0.066,-0.523
2007,CA,Anglo-Saxon,Wave VII,Canada 2007,Gross,0.17,0.2,-0.074,-0.51
2004,CA,Anglo-Saxon,Wave VI,Canada 2004,Gross,0.17,0.212,-0.079,-0.498
2000,CA,Anglo-Saxon,Wave V,Canada 2000,Gross,0.158,0.237,-0.117,-0.49
1998,CA,Anglo-Saxon,Wave V,Canada 1998,Gross,0.175,0.202,-0.103,-0.522
1997,CA,Anglo-Saxon,Wave IV,Canada 1997,Gross,0.162,0.203,-0.147,-0.502
1994,CA,Anglo-Saxon,Wave IV,Canada 1994,Gross,0.17,0.199,-0.137,-0.501
1991,CA,Anglo-Saxon,Wave III,Canada 1991,Gross,0.158,0.198,-0.109,-0.486
1987,CA,Anglo-Saxon,Wave II,Canada 1987,Gross,0.128,0.19,-0.184,-0.476
1981,CA,Anglo-Saxon,Wave I,Canada 1981,Gross,0.101,0.153,-0.206,-0.481
1975,CA,Anglo-Saxon,Historical wave,Canada 1975,Gross,0.103,0.147,-0.186,-0.491
1971,CA,Anglo-Saxon,Historical wave,Canada 1971,Gross,0.077,0.148,-0.26,-0.521
2002,CN,BRICS,Wave V,China 2002,Mix,0.127,0.051,0.324,-0.486
2013,CO,Latin America,Wave IX,Colombia 2013,Mix,0.112,0.125,0.25,-0.584
2010,CO,Latin America,Wave VIII,Colombia 2010,Mix,0.114,0.114,-0.198,-0.58
2007,CO,Latin America,Wave VII,Colombia 2007,Mix,0.103,0.124,-0.188,-0.572
2004,CO,Latin America,Wave VI,Colombia 2004,Gross,0.082,0.049,-0.047,-0.504
2013,CZ,CEE,Wave IX,Czech Republic 2013,Gross,0.205,0.138,-0.198,-0.52
2010,CZ,CEE,Wave VIII,Czech Republic 2010,Gross,0.208,0.138,-0.176,-0.511
2007,CZ,CEE,Wave VII,Czech Republic 2007,Gross,0.2,0.17,-0.225,-0.498
2004,CZ,CEE,Wave VI,Czech Republic 2004,Gross,0.207,0.174,-0.217,-0.498
2002,CZ,CEE,Wave V,Czech Republic 2002,Gross,0.209,0.163,-0.242,-0.508
1996,CZ,CEE,Wave IV,Czech Republic 1996,Gross,0.17,0.175,-0.292,-0.472
1992,CZ,CEE,Wave III,Czech Republic 1992,Gross,0.241,0.134,-0.208,-0.411
2013,DK,EU15,Wave IX,Denmark 2013,Gross,0.236,0.321,-0.199,-0.364
