Year,Region,Code,Wave,Country,LIS Dataset.3,Gross / net,"Primary
Income","Gross
Income","Disposable
Income",Total,"From
Transfers","From
Taxes",Total2,"From
Transfers3","From
Taxes4","From
Transfers5","From
Taxes6",Year7,Code8,Wave9,LIS Dataset10,Gross / net11,"Primary
Income12","Gross
Income13","Disposable
Income14",Total15,"From
Transfers16","From
Taxes17",Total18,"From
Transfers19","From
Taxes20","From
Transfers21","From
Taxes22"
2010,Anglo-Saxon,AU,Wave VIII,Australia,,Gross,0.477,0.368,0.33,0.147,0.109,0.038,0.31,0.23,0.08,0.74,0.26,2010,AU,Wave VIII,Australia 2010,Gross,0.414,0.347,0.313,0.102,0.068,0.034,0.25,0.16,0.08,0.67,0.33
2008,Anglo-Saxon,AU,Wave VII,Australia,,Gross,0.475,0.376,0.333,0.142,0.099,0.043,0.3,0.21,0.09,0.7,0.3,2008,AU,Wave VII,Australia 2008,Gross,0.417,0.359,0.321,0.096,0.058,0.038,0.23,0.14,0.09,0.6,0.4
2003,Anglo-Saxon,AU,Wave VI,Australia,,Gross,0.475,0.36,0.312,0.163,0.116,0.048,0.34,0.24,0.1,0.71,0.29,2003,AU,Wave VI,Australia 2003,Gross,0.421,0.344,0.301,0.12,0.077,0.043,0.28,0.18,0.1,0.64,0.36
2001,Anglo-Saxon,AU,Wave V,Australia,,Gross,0.488,0.366,0.317,0.171,0.122,0.049,0.35,0.25,0.1,0.71,0.29,2001,AU,Wave V,Australia 2001,Gross,0.433,0.352,0.308,0.125,0.081,0.044,0.29,0.19,0.1,0.65,0.35
1995,Anglo-Saxon,AU,Wave IV,Australia,,Gross,0.474,0.357,0.308,0.166,0.117,0.049,0.35,0.25,0.1,0.71,0.29,1995,AU,Wave IV,Australia 1995,Gross,0.422,0.343,0.299,0.123,0.079,0.044,0.29,0.19,0.1,0.64,0.36
1989,Anglo-Saxon,AU,Wave III,Australia,,Gross,0.435,0.353,0.302,0.132,0.082,0.05,0.3,0.19,0.12,0.62,0.38,1989,AU,Wave III,Australia 1989,Gross,0.386,0.332,0.287,0.099,0.053,0.045,0.26,0.14,0.12,0.54,0.46
1985,Anglo-Saxon,AU,Wave II,Australia,,Gross,0.434,0.346,0.292,0.143,0.088,0.055,0.33,0.2,0.13,0.62,0.38,1985,AU,Wave II,Australia 1985,Gross,0.39,0.329,0.279,0.111,0.061,0.05,0.28,0.16,0.13,0.55,0.45
1981,Anglo-Saxon,AU,Wave I,Australia,,Gross,0.402,0.327,0.281,0.122,0.076,0.046,0.3,0.19,0.11,0.62,0.38,1981,AU,Wave I,Australia 1981,Gross,0.367,0.317,0.274,0.093,0.049,0.044,0.25,0.13,0.12,0.53,0.47
2013,EU15,AT,Wave IX,Austria,,Gross,0.493,0.322,0.279,0.215,0.171,0.044,0.44,0.35,0.09,0.8,0.2,2013,AT,Wave IX,Austria 2013,Gross,0.417,0.32,0.28,0.137,0.097,0.04,0.33,0.23,0.1,0.7,0.3
2010,EU15,AT,Wave VIII,Austria,,Gross,0.491,0.325,0.279,0.212,0.166,0.046,0.43,0.34,0.09,0.78,0.22,2010,AT,Wave VIII,Austria 2010,Gross,0.421,0.32,0.277,0.143,0.1,0.043,0.34,0.24,0.1,0.7,0.3
2007,EU15,AT,Wave VII,Austria,,Gross,0.485,0.329,0.284,0.201,0.156,0.045,0.41,0.32,0.09,0.78,0.22,2007,AT,Wave VII,Austria 2007,Gross,0.416,0.322,0.281,0.135,0.094,0.042,0.33,0.23,0.1,0.69,0.31
2004,EU15,AT,Wave VI,Austria,,Gross,0.458,0.303,0.269,0.19,0.155,0.034,0.41,0.34,0.08,0.82,0.18,2004,AT,Wave VI,Austria 2004,Gross,0.399,0.298,0.267,0.132,0.101,0.031,0.33,0.25,0.08,0.77,0.23
2000,EU15,AT,Wave V,Austria,,Net,0.427,0.257,0.257,0.17,0.17,,0.4,0.4,0,1,,2000,AT,Wave V,Austria 2000,Net,0.364,0.254,0.254,0.11,0.11,,0.3,0.3,0,1,
1997,EU15,AT,Wave IV,Austria,,Net,0.427,0.266,0.266,0.161,0.161,,0.38,0.38,0,1,,1997,AT,Wave IV,Austria 1997,Net,0.364,0.261,0.261,0.103,0.103,,0.28,0.28,0,1,
1995,EU15,AT,Wave IV,Austria,,Mix,,,0.277,,,,,,,,,1995,AT,Wave IV,Austria 1995,Mix,,,0.271,,,,,,,,
1994,EU15,AT,Wave IV,Austria,,Net,0.439,0.28,0.28,0.158,0.158,,0.36,0.36,0,1,,1994,AT,Wave IV,Austria 1994,Net,0.375,0.278,0.278,0.097,0.097,,0.26,0.26,0,1,
1987,EU15,AT,Wave II,Austria,,Mix,,,0.227,,,,,,,,,1987,AT,Wave II,Austria 1987,Mix,,,0.212,,,,,,,,
2000,EU15,BE,Wave V,Belgium,,Net,0.474,0.279,0.279,0.195,0.195,,0.41,0.41,0,1,,2000,BE,Wave V,Belgium 2000,Net,0.392,0.275,0.275,0.117,0.117,,0.3,0.3,0,1,
1997,EU15,BE,Wave IV,Belgium,,Gross,0.482,0.324,0.25,0.231,0.158,0.073,0.48,0.33,0.15,0.68,0.32,1997,BE,Wave IV,Belgium 1997,Gross,0.418,0.312,0.246,0.172,0.106,0.066,0.41,0.25,0.16,0.62,0.38
1995,EU15,BE,Wave IV,Belgium,,Net,0.467,0.266,0.266,0.2,0.2,,0.43,0.43,0,1,,1995,BE,Wave IV,Belgium 1995,Net,0.399,0.262,0.262,0.136,0.136,,0.34,0.34,0,1,
1992,EU15,BE,Wave III,Belgium,,Gross,0.45,0.285,0.222,0.227,0.164,0.063,0.51,0.37,0.14,0.72,0.28,1992,BE,Wave III,Belgium 1992,Gross,0.395,0.274,0.218,0.177,0.121,0.056,0.45,0.31,0.14,0.68,0.32
1988,EU15,BE,Wave III,Belgium,,Net,0.421,0.232,0.232,0.189,0.189,,0.45,0.45,0,1,,1988,BE,Wave III,Belgium 1988,Net,0.373,0.228,0.228,0.145,0.145,,0.39,0.39,0,1,
1985,EU15,BE,Wave II,Belgium,,Net,0.414,0.227,0.227,0.188,0.188,,0.45,0.45,0,1,,1985,BE,Wave II,Belgium 1985,Net,0.37,0.225,0.225,0.145,0.145,,0.39,0.39,0,1,
2013,BRICS,BR,Wave IX,Brazil,,Gross,0.542,0.468,0.45,0.093,0.075,0.018,0.17,0.14,0.03,0.8,0.2,2013,BR,Wave IX,Brazil 2013,Gross,0.516,0.463,0.444,0.072,0.053,0.019,0.14,0.1,0.04,0.74,0.26
2011,BRICS,BR,Wave VIII,Brazil,,Gross,0.544,0.476,0.46,0.084,0.068,0.016,0.15,0.12,0.03,0.81,0.19,2011,BR,Wave VIII,Brazil 2011,Gross,0.518,0.47,0.454,0.064,0.048,0.016,0.12,0.09,0.03,0.74,0.26
