Row Labels,Sum all social benefitss,Old-age/ Disability/ Survivor transfers,Sickness transfers,Education transfers,Unemployment compensation,Housing transfers,General/food/ medical assistance,Other transfers ,Residual ,Income taxes 
Austria 2013,26.10%,19.80%,0.40%,0.20%,1.70%,0.10%,0.30%,0.00%,0.00%,25.40%
Brazil 2011,20.20%,18.10%,,,0.60%,,1.00%,0.40%,0.00%,8.60%
Brazil 2013,20.40%,18.00%,,,0.70%,,1.40%,0.40%,0.00%,9.00%
Czech Republic 2013,20.50%,16.40%,,,0.40%,0.40%,0.40%,1.30%,0.00%,13.80%
Denmark 2013,23.60%,15.50%,,1.30%,1.60%,0.80%,1.90%,0.90%,0.00%,32.10%
Estonia 2013,19.10%,13.50%,0.70%,0.10%,0.50%,,0.10%,0.00%,0.30%,15.00%
Finland 2013,25.50%,16.80%,0.10%,0.50%,3.10%,0.60%,0.40%,1.70%,0.20%,24.30%
Germany 2013,22.40%,16.80%,,0.30%,1.90%,0.10%,0.10%,0.10%,0.00%,26.10%
Greece 2013,29.60%,26.80%,0.00%,0.00%,0.90%,0.00%,,0.50%,0.40%,20.50%
Guatemala 2011,1.90%,1.70%,,0.00%,,,0.10%,0.10%,0.00%,5.60%
Guatemala 2014,2.80%,1.90%,,0.00%,,,0.50%,0.30%,0.00%,14.60%
Israel 2012,14.80%,10.30%,,,0.50%,,0.50%,1.80%,0.00%,16.40%
Luxembourg 2013,26.00%,19.30%,0.20%,0.10%,0.90%,0.10%,0.60%,0.30%,0.00%,22.70%
Netherlands 2013,22.20%,16.40%,0.40%,0.50%,1.70%,0.50%,1.00%,0.50%,0.00%,32.60%
Norway 2013,23.20%,16.30%,2.30%,0.40%,0.60%,0.10%,0.30%,0.60%,0.00%,25.80%
Panama 2013,11.60%,9.40%,,1.50%,,0.00%,0.40%,0.00%,0.00%,8.90%
Peru 2013,7.30%,4.00%,,0.20%,,0.00%,2.60%,0.00%,0.00%,4.90%
Poland 2013,25.50%,22.50%,,0.10%,0.40%,0.10%,0.80%,0.30%,0.00%,2.40%
Slovakia 2013,20.90%,16.60%,0.20%,0.10%,0.30%,,,0.80%,0.00%,12.60%
South Africa 2012,10.60%,6.00%,,,,,,0.20%,0.40%,18.80%
South Korea 2012,4.60%,2.50%,,,,,,2.10%,0.00%,8.60%
Spain 2013,26.30%,19.20%,0.40%,0.20%,5.80%,0.00%,,0.50%,0.00%,16.10%
Switzerland 2013,17.20%,12.90%,0.00%,,0.90%,0.00%,,1.30%,0.00%,28.10%
Taiwan 2013,9.90%,1.10%,,,,,0.10%,8.60%,0.00%,13.30%
United Kingdom 2013,21.70%,13.80%,0.00%,0.00%,0.40%,2.00%,0.90%,1.10%,0.00%,16.70%
United States 2013,13.80%,11.00%,0.10%,0.70%,0.40%,0.10%,0.70%,0.10%,-0.60%,19.60%
Grand Total,18.00%,13.30%,0.40%,0.40%,1.20%,0.30%,0.70%,0.90%,0.00%,17.00%
