Year,Country,Region,Wave,LIS Dataset,Gross / net,"Primary
income (a)","Gross
income (b)","Disposable
income (c)",Absolute (a-c),"Relative 
(a-c)/a*100","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual,"Residual / total 
redistribution","Ratio other transfers / 
total transfers",,Year,Country,Region,Wave,LIS Dataset,Gross / net,"Relative fiscal
redistribution","Total
redistribution","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual
2010,AU,Anglo-Saxon,Wave VIII,Australia 2010,Gross,0.477,0.368,0.33,0.147,31%,0.06,0,0.028,0.001,0.008,0.002,0,0.011,0.038,0,0.10%,7.30%,,2010,AU,Anglo-Saxon,Wave VIII,Australia 2010,Gross,31%,100%,40%,0%,19%,0%,5%,1%,0%,7%,26%,0%
2008,AU,Anglo-Saxon,Wave VII,Australia 2008,Gross,0.475,0.376,0.333,0.142,30%,0.055,0,0.028,0.001,0.006,0.002,0,0.008,0.043,0,0.10%,5.30%,,2008,AU,Anglo-Saxon,Wave VII,Australia 2008,Gross,30%,100%,39%,0%,20%,0%,4%,1%,0%,5%,30%,0%
2003,AU,Anglo-Saxon,Wave VI,Australia 2003,Gross,0.475,0.36,0.312,0.163,34%,0.065,0,0.032,,0.012,,0,0.006,0.048,0,0.10%,3.80%,,2003,AU,Anglo-Saxon,Wave VI,Australia 2003,Gross,34%,100%,40%,0%,19%,,7%,,0%,4%,29%,0%
2001,AU,Anglo-Saxon,Wave V,Australia 2001,Gross,0.488,0.366,0.317,0.171,35%,0.068,0,0.034,,0.012,,0,0.007,0.049,0,0.10%,4.20%,,2001,AU,Anglo-Saxon,Wave V,Australia 2001,Gross,35%,100%,40%,0%,20%,,7%,,0%,4%,29%,0%
1995,AU,Anglo-Saxon,Wave IV,Australia 1995,Gross,0.474,0.357,0.308,0.166,35%,0.064,0.001,0.026,0.004,0.016,,0,0.005,0.049,0,0.20%,2.80%,,1995,AU,Anglo-Saxon,Wave IV,Australia 1995,Gross,35%,100%,39%,1%,16%,2%,10%,,0%,3%,29%,0%
1989,AU,Anglo-Saxon,Wave III,Australia 1989,Gross,0.435,0.353,0.302,0.132,30%,0.05,0.002,0.016,0.001,0.01,,,0.003,0.05,0,0.00%,2.50%,,1989,AU,Anglo-Saxon,Wave III,Australia 1989,Gross,30%,100%,38%,1%,12%,1%,7%,,,2%,38%,0%
1985,AU,Anglo-Saxon,Wave II,Australia 1985,Gross,0.434,0.346,0.292,0.143,33%,0.059,0.002,0.006,0.001,0.012,,,0.01,0.055,0,0.00%,6.80%,,1985,AU,Anglo-Saxon,Wave II,Australia 1985,Gross,33%,100%,41%,1%,4%,1%,8%,,,7%,38%,0%
1981,AU,Anglo-Saxon,Wave I,Australia 1981,Gross,0.402,0.327,0.281,0.122,30%,0.05,0.002,0.006,0.001,0.008,,,0.008,0.046,0,0.10%,6.90%,,1981,AU,Anglo-Saxon,Wave I,Australia 1981,Gross,30%,100%,41%,2%,5%,1%,7%,,,7%,38%,0%
2013,AT,EU15,Wave IX,Austria 2013,Gross,0.493,0.322,0.279,0.215,44%,0.132,0.002,0.017,0.001,0.013,0.001,0.004,0,0.044,0,-0.10%,0.00%,,2013,AT,EU15,Wave IX,Austria 2013,Gross,44%,100%,62%,1%,8%,1%,6%,1%,2%,0%,20%,0%
2010,AT,EU15,Wave VIII,Austria 2010,Gross,0.491,0.325,0.279,0.212,43%,0.124,0.002,0.021,0.001,0.014,0.002,0.002,0,0.046,0,-0.10%,0.00%,,2010,AT,EU15,Wave VIII,Austria 2010,Gross,43%,100%,59%,1%,10%,0%,6%,1%,1%,0%,22%,0%
2007,AT,EU15,Wave VII,Austria 2007,Gross,0.485,0.329,0.284,0.201,41%,0.121,0.002,0.019,0.001,0.01,0.002,0.001,0,0.045,0,0.00%,0.00%,,2007,AT,EU15,Wave VII,Austria 2007,Gross,41%,100%,61%,1%,10%,0%,5%,1%,1%,0%,22%,0%
2004,AT,EU15,Wave VI,Austria 2004,Gross,0.458,0.303,0.269,0.19,41%,0.121,0.001,0.021,0.001,0.009,0.001,0.001,0,0.034,0,-0.10%,0.00%,,2004,AT,EU15,Wave VI,Austria 2004,Gross,41%,100%,64%,0%,11%,1%,5%,1%,1%,0%,18%,0%
2000,AT,EU15,Wave V,Austria 2000,Net,0.427,0.257,0.257,0.17,40%,0.132,0,0.026,0.001,0.008,0.002,0,0,,0.001,0.40%,0.00%,,2000,AT,EU15,Wave V,Austria 2000,Net,40%,100%,78%,0%,15%,1%,4%,1%,0%,0%,,0%
