Row Labels,Relative fiscal redistribution (%),Old-age / Disability / Survivor transfers,Sickness transfers,Family/Children transfers,Education  transfers,Unemployment compensation,Housing transfers,General / food / medical assistance,Other transfers ,Income taxes ,Residual 
Austria 2013,44%,62%,1%,8%,1%,6%,1%,2%,0%,20%,0%
Brazil 2011,15%,63%,,,,3%,,13%,2%,19%,0%
Brazil 2013,17%,61%,,,,4%,,15%,2%,20%,-1%
Czech Republic 2013,44%,69%,,5%,,1%,2%,2%,3%,18%,0%
Denmark 2013,48%,58%,,2%,5%,4%,4%,8%,2%,18%,-1%
Estonia 2013,35%,53%,0%,4%,0%,1%,,0%,0%,41%,0%
Finland 2013,47%,54%,0%,4%,2%,9%,3%,2%,-4%,39%,-9%
Germany 2013,44%,61%,,6%,1%,9%,1%,0%,0%,23%,0%
Greece 2013,41%,61%,0%,2%,0%,2%,0%,,1%,33%,0%
Guatemala 2011,3%,3%,,,1%,,,4%,4%,88%,0%
Guatemala 2014,8%,-3%,,,1%,,,8%,6%,89%,0%
Israel 2012,25%,45%,,9%,,2%,,4%,9%,32%,0%
Luxembourg 2013,40%,60%,0%,12%,0%,4%,1%,4%,1%,18%,0%
Netherlands 2013,45%,56%,1%,3%,2%,4%,3%,6%,0%,28%,-2%
Norway 2013,44%,60%,4%,6%,1%,2%,1%,2%,2%,22%,0%
Panama 2013,9%,33%,,8%,21%,,0%,8%,0%,31%,0%
Peru 2013,6%,21%,,16%,3%,,0%,23%,0%,37%,0%
Poland 2013,35%,86%,,6%,0%,2%,1%,4%,1%,0%,0%
Slovakia 2013,37%,73%,0%,9%,0%,1%,,,5%,12%,0%
South Africa 2012,14%,24%,,17%,,,,,-1%,58%,1%
South Korea 2012,9%,43%,,,,,,,32%,25%,0%
Spain 2013,34%,59%,1%,1%,1%,17%,0%,,2%,20%,0%
Switzerland 2013,31%,77%,0%,6%,,4%,0%,,9%,4%,0%
Taiwan 2013,8%,39%,,,,,,6%,70%,-15%,0%
United Kingdom 2013,39%,47%,0%,14%,0%,2%,11%,4%,5%,17%,0%
United States 2013,26%,53%,0%,8%,2%,2%,1%,5%,-1%,31%,0%
Grand Total,29%,51%,1%,7%,2%,4%,2%,6%,6%,28%,-1%
