Country,Gross,Net,Mixed,# sets
Australia,"AU10, AU08, AU03, AU01, AU95, AU89, AU85, AU81",,,8
Austria,"AT13, AT10, AT07, AT04","AT00, AT97, AT94","AT95, AT87",9
Belgium,"BE97, BE92","BE00, BE95, BE88, BE85",,6
Brazil,"BR13, BR11, BR09, BR06",,,4
Canada,"CA10, CA07, CA04, CA00, CA98, CA97, CA94, CA91, CA87, CA81, CA75, CA71",,,12
China,,,CN02,1
Colombia,CO04,,"CO13, CO10, CO07",4
Czech Republic,"CZ13, CZ10, CZ07, CZ04, CZ02, CZ96, CZ92",,,7
Denmark,"DK13, DK10, DK07, DK04, DK00, DK95, DK92, DK87",,,8
Dominican Rep.,DO07,,,1
Egypt,,EG12,,1
Estonia,"EE13, EE10, EE07, EE04",,EE00,5
Filand,"FI13, FI10, FI07, FI04, FI00, FI95, FI91, FI87",,,8
France,,,"FR10, FR05, FR00, FR94, FR89, FR84, FR78",7
Georgia,,"GE13, GE10",,2
Germany,"DE13, DE10, DE07, DE04, DE00, DE94, DE89, DE84, DE83, DE81, DE78, DE73",,,12
Greece,"GR13, GR10, GR07","GR04, GR00, GR95",,6
Guatemala,"GT14, GT11, GT06",,,3
Hungary,,"HU12, HU09, HU07, HU05, HU99, HU94, HU91",,7
Iceland,"IS10, IS07, IS04",,,3
India,,"IN11, IN04",,2
Ireland,"IE10, IR07, IE04, IE87","IE00, IE96, IE95, IE94",,8
Israel,"IL12, IL10, IL07, IL05, IL01, IL97, IL92, IL86, IL79",,,9
Italy,,"IT14, IT10, IT08, IT04, IT00, IT98, IT95, IT93, IT91, IT89, IT87, IT86",,12
Japan,JP08,,,1
Luxembourg,"LU13, LU10, LU08, LU04","LU00, LU97, LU94, LU91, LU85",,9
Mexico,,"MX12, MX10, MX08, MX04, MX02, MX00, MX98, MX96, MX94, MX92, MX89, MX84",,12
Netherlands,"NL13, NL10, NL07, NL04, NL99, NL93, NL90, NL87, NL83",,,9
Norway,"NO13, NO10, NO07, NO04, NO00, NO95, NO91, NO86, NO79",,,9
Panama,"PA13, PA10, PA07",,,3
Paraguay,,"PY10, PY13",,2
Peru,"PE13, PE10, PE07, PE04",,,4
Poland,"PL13, PL10, PL07, PL04, PL99","PL92, PL86",PL95,8
Romania,"RO97, RO95",,,2
Russia,,"RU13, RU10, RU07, RU04, RU00",,5
Serbia,,"RS13, RS10, RS06",,3
Slovak Republic,"SK13, SK10, SK07, SK04, SK92",SK96,,6
Slovenia,,"SI12, SI10, SI07, SI04, SI99, SI97",,6
South Africa,"ZA12, ZA10, ZA08",,,3
South Korea,"KR12, KR10, KR08, KR06",,,4
Spain,"ES13, ES10, ES07","ES04, ES00, ES95, ES90, ES85, ES80",,9
Sweden,"SE05, SE00, SE95, SE92, SE87, SE81, SE75, SE67",,,8
Switzerland,"CH13, CH10, CH07, CH04, CH02, CH00, CH92, CH82",,,8
Taiwan,"TW13, TW10, TW07, TW05, TW00, TW97, TW95, TW91, TW86, TW81",,,10
United Kingdom,"UK13, UK10, UK07, UK04, UK99, UK95, UK94, UK91, UK86, UK79, UK74, UK69",,,12
United States,"US13, US10, US07, US04, US00, US97, US94, US91, US86, US79, US74",,,11
Uruguay,,"UY13, UY10, UY07, UY04",,4
,,,,
# LIS Datsets,194,84,15,293
